Name,Street Address,City,State,Zipcode,Latitude,Longitude,Category
Bibliotheque T. A. Saint-Germain,2720 Rue Dessaulles,Saint Hyacinthe,QC,J2S 2V7,45.6214454,-72.9581257,library or archives
Britannia Mining Museum,1 Forbes Way,Squamish Lillooet D,BC,V0N 1J0,49.6237146,-123.2033875,museum
Aylmer-Malahide Museum & Archives,14 East St,Aylmer,ON,N5H 1W2,42.7739751,-80.9716404,museum
Mark T. Brandt Architect & Associates,112 Nelson St,Ottawa,ON,K1N 7R5,45.4290098,-75.6836106,heritage or historic site
Th¨¦atre La Bord¨¦e,315 Rue St-Joseph E,Qu¨¦bec,QC,G1K 3B3,46.813626,-71.226075,theatre/performance and concert hall
Galerie D'Art Yves Gonthier,258 Rue Des-Geais,Maria,QC,G0C 1Y0,48.181364,-66.013992,gallery
Archives De La Congr¨¦gation De Notre-Dame De Montr¨¦al,2330 Rue Sherbrooke Ouest,Westmount,QC,H3H 1G8,45.4782699,-73.6042695,library or archives
Festival Des Brasseurs Et Artisans De Qu¨¦bec,2000 Boulevard Montmorency,Qu¨¦bec,QC,G1J 5E7,46.824561,-71.234534,festival site
Vanderhoof Museum,478 1St Street West,Vanderhoof,BC,V0J 3A0,54.0140007,-124.0146371,museum
Bizune Event Gallery,452 Richmond St W,Toronto,ON,M5V 1Y1,43.64798103,-79.39747726,gallery
Galerie Zen,1139 Rue St-Jean,Qu¨¦bec,QC,G1R 1S3,46.814074,-71.210177,gallery
Dryden & District Museum,15 Van Avenue,Dryden,ON,P8N 2A5,49.778782,-92.8363228,museum
Haliburton House Museum,424 Clifton Avenue,Windsor,NS,B0N 2T0,44.98969217,-64.13918576,museum
Elgin County Museum,450 Sunset Dr,Central Elgin,ON,N5R 5V1,42.7394151,-81.1923596,museum
Indian Head Branch Library,419 Grand Ave,Indian Head,SK,S0G 2K0,50.538984,-103.6753588,library or archives
Niagara College Learning Resource Centre Glendale Campus,135 Taylor Road,Niagara on the Lake,ON,,43.15322491,-79.16619306,library or archives
Cambridge,1 North Square,Cambridge,ON,N1S 2K6,43.35943015,-80.31818209,library or archives
Burnaby Village Museum,6501 Deer Avenue,Burnaby,BC,V5G 3T6,49.2394477,-122.9672589,museum
Museums of Burlington,2168 Guelph Line,Burlington,ON,L7P 5A8,43.3702673,-79.8297747,museum
Festival Des Sucres De St-Pierre-Baptiste,510 De-L'¨¦glise Route,Saint Pierre Baptiste,QC,G0P 1K0,46.206996,-71.614163,festival site
Mus¨¦e De La Gasp¨¦sie,80 Boulevard De-Gasp¨¦,Gasp¨¦,QC,G4X 1A9,48.836718,-64.474653,museum
Goulbourn Museum,2064 Huntley Rd,Ottawa,ON,K2S 1B8,45.23354458,-75.90627281,museum
Centre Culturel Henri-Lemieux,7644 Rue ¨¦douard,Montr¨¦al,QC,H8P 1T3,45.430576,-73.594461,theatre/performance and concert hall
Bibliotheque Auguste-Honore-Gosselin,41 Rue Du-Coll¨¨ge,Pont Rouge,QC,G3H 3A4,46.7524508,-71.6948414,library or archives
Chiefswood National Historic Site,1037 54 Hwy,Six Nations (Part) 40,ON,N0A 1M0,43.1043048,-80.1007474,heritage or historic site
Firefighters Museum,451 Main,Yarmouth,NS,B5A 1G9,43.8372648,-66.1157,museum
Centennial,3870 Old Richmond,Ottawa,ON,K2H 5C4,45.320702,-75.826202,library or archives
Carmichael-Stewart House Museum,86 Temperance,New Glasgow,NS,B2H 3A7,45.58808662,-62.64174277,museum
Arnprior & District Museum,35 Madawaska St,Arnprior,ON,K7S 1R6,45.4349423,-76.3522621,museum
Biblioth¨¨que Publique De Lac-Bouchette,258 Rue Principale,Lac Bouchette,QC,G0W 1V0,48.2574912,-72.1859745,library or archives
Canadian Fire Fighters Museum,95 Mill St,Port Hope,ON,L1A 3W4,44.036115,-78.3932448,museum
"Cit¨¦ Historia, Mus¨¦e Du Sault-Au-R¨¦collet",10897 Rue Du-Pont,Montr¨¦al,QC,H2B 2H3,45.57448904,-73.65946108,museum
Fernie And District Historical Society Museum,491 2Nd Ave,Fernie,BC,V0B 1M0,49.5005675,-115.0640847,museum
Gallery 129,129 Ossington Ave,Toronto,ON,M6J 2Z6,43.6471037,-79.41967565,gallery
Maison De La Culture Frontenac,2550 Rue Ontario Est,Montr¨¦al,QC,H2K 1W7,45.53285,-73.551818,art or cultural centre
Biblioth¨¨que La Corne De Brume,943 Rue De-L'¨¦glise,Saint Antoine de Tilly,QC,G0S 2C0,46.6627113,-71.5726776,library or archives
Mus¨¦e R¨¦gional De La C?te-Nord,500 Boulevard Laure,Sept ?les,QC,G4R 1X7,50.213446,-66.375888,museum
Festival Western De Guigues,11 Rue Beauchamps,Saint Bruno de Guigues,QC,J0Z 2G0,47.461624,-79.435993,festival site
264 Botsford Street,264 Botsford St,Moncton,NB,,46.0969501,-64.77766022,heritage or historic site
Peace Gallery North,10015 100Th Ave,Fort St. John,BC,V1J 1Y7,56.2461007,-120.8479232,gallery
Campbell House,160 Queen St W,Toronto,ON,M5H 3H3,43.65090189,-79.38715271,museum
Kingston General Hospital Archives,76 Stuart St,Kingston,ON,,44.22373762,-76.49323366,museum
Lytton Branch,121 Fourth Street,Lytton,BC,V0K 1Z0,50.231335,-121.581809,library or archives
Bibliotheque Saint-David,4 Rue Olympique,L¨¦vis,QC,G6W 6N3,46.777557,-71.193631,library or archives
Lincoln Public Library Moses F. Rittenhouse Branch,4080 Boulevard John,Lincoln,ON,,43.15981758,-79.39385418,library or archives
Biblioth¨¨que La Plume D'Or,123 Rue Principale,Saint Aim¨¦ des Lacs,QC,G0T 1S0,47.6828438,-70.3113935,library or archives
Festival Transam¨¦riques,175 Rue Ste-Catherine O,Montr¨¦al,QC,H2X 1Z8,45.508502,-73.565452,festival site
14 Church Street,14 Church St,Moncton,NB,,46.08876763,-64.77824948,heritage or historic site
Avonlea & District Museum,219 Railway Ave,Avonlea,SK,S0H 0C0,50.0135873,-105.060519,museum
Living Prairie Museum,2795 Ness Avenue,Winnipeg,MB,R3J 3S4,49.88775755,-97.27184025,museum
North Mount Pleasant Arts Centre,523 27 Av Nw,Calgary,AB,,51.07672742,-114.0727255,art or cultural centre
Magic Pony Gallery,680 Queen St W,Toronto,ON,M6J 1E5,43.64666594,-79.4074816,gallery
Geerts Roofing,1 Matilda Gate,Ottawa,ON,K0A 2Z0,45.1323315,-75.93807139,heritage or historic site
Vieux Bureau De Poste,2172 Ch Du-Fleuve,L¨¦vis,QC,G6W 1Y6,46.7580356,-71.240273,theatre/performance and concert hall
Desbrisay Museum And Exhibition Centre,130 Jubilee Road,Bridgewater,NS,B4V 2A7,44.36767917,-64.51216015,museum
Lincoln Public Library Fleming Branch,5020 Serena Drive On,Lincoln,ON,,43.168007,-79.47905804,library or archives
Columbus Centre (Joseph D. Carrier Art Gallery),901 Lawrence Ave W,Toronto,ON,M6A 1C3,43.71301352,-79.45674566,gallery
Liberty Junction,2453 Dunwin Dr,Mississauga,ON,L5L 1T1,43.53059749,-79.68061092,theatre/performance and concert hall
Father Lacombe Chapel Provincial Historic Site,2 St-Vital Avenue,St. Albert,AB,T6G 2P8,53.6333096,-113.6388242,heritage or historic site
The Act Arts Centre & Theatre,11944 Haney Pl,Maple Ridge,BC,,49.219156,-122.5983229,theatre/performance and concert hall
Greely,1448 Meadow Drive,Ottawa,ON,K4P 1B1,45.2612,-75.557198,library or archives
Foam Lake Museum,113 Bray Avenue West,Foam Lake,SK,S0A 1R0,51.6426053,-103.5366687,museum
